name,level,description,category,money,link
Chef de projet web technique,5,"Encadrer une équipe de développeurs web, analyser les besoin avec le cahier des charges, il est aussi un expert dans la gestion de relation client.",Système - Réseaux,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/chef-cheffe-de-projet-web-mobile
Administrateur de base de données,5,"Élabore, organise, optimise et supervise une ou plusieurs base de l’information internes à une entreprise.",Système - Base de donnée,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/administrateur-administratrice-de-base-de-donnees
Administrateur réseaux,5,Veille au bon fonctionnement des systèmes de télécommunication. Il réceptionne et installe les matériels informatique et télécommunication.,Système - Réseaux,2600,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/administrateur-administratrice-reseaux 
Architecte réseaux,5,"Conçoit, planifie, développe l’organisation générale des réseaux de télécommunication et supervise leurs mise en place.",Système - Réseaux,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/administrateur-administratrice-reseaux 
Chef de projet multimédia,5,"Créer un site internet, un newsletter, réaliser un film d’entreprise, mener une campagne de publicité interactive.",Système - Multimédia,2575,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/chef-cheffe-de-projet-multimedia
Data scientist,6,Analyser des grande quantité de donnée produit par les réseau.,Système - Base de donnée,3500,https://www.studyrama.com/formations/specialites/informatique-numerique/les-formations-au-big-data-101185
Ingénieure cloud computing,6,"Expert de la virtualisation des données en dehors de l'entreprise, et de leur stockage sécurisé sur des serveurs distants pour un accès depuis mobiles, tablettes ou postes de travail, l'ingénieur cloud computing accompagne les entreprises dans leur mutation vers cette nouvelle tendance qui se généralise.",Système - Réseaux,3300,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/ingenieur-ingenieure-cloud-computing
Administrateur de logiciel de laboratoire,3,"Gestion des rendez-vous et de la remise des résultats, archivage des données, production des rapports d'analyses.",Système - Base de donnée,2900,www.onisep.fr/Ressources/Univers-Metier/Metiers/administrateur-administratrice-de-logiciels-de-laboratoire
Développeur d’application mobile,3,Le développeur d'applications mobiles est chargé de la réalisation technique d'une application.,Système - Développement,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/developpeur-developpeuse-d-applications-mobiles
Développeur informatique,3,"Expert des langages informatiques, le développeur informatique traduit la demande d'un clinkt en lignes de code informatique.",Système - Développement,2400,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/developpeur-developpeuse-informatique
Architecte réseaux,3,"Conçoit, planifie, développe l’organisation générale des réseaux de télécommunication et supervise leurs mise en place.",Système - Réseaux,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/administrateur-administratrice-reseaux 
Administrateur de base de données,3,"Élabore, organise, optimise et supervise une ou plusieurs base de l’information internes à une entreprise.",Système - Base de donnée,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/administrateur-administratrice-de-base-de-donnees
Animateur/trice 2D et 3D,2,"Maître du mouvement, l'animateur 2D et 3D intervient sur des films d'animation, des jeux vidéo ou des publicités.",Système - Multimédia,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/animateur-animatrice-2D-et-3D
Testeur/Testeuse,2,"Assure qu'une application correspond au cahier des charges, qu'elle ne détériore pas le système d'information, qu'elle est utilisable sur tous types de matériels informatiques et dans tous les cas d'utilisation.",Système - Réseaux,1700,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/testeur-testeuse
Formateur/Formatrice Informatique,3,Forme les employés d'une entreprise à un nouveau logiciel ou à de nouvelles fonctionnalités mais aussi des ingénieurs qui doivent maîtriser des outils plus complexes.,Système - Développement,1675,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/testeur-testeuse
Concepteur de niveau de jeu web,3,"Faire progresser le joueur en lui faisant franchir des étapes, tout en dosant les difficultés et le rythme du jeu.",Système - Développement,1830,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/concepteur-conceptrice-de-niveaux-de-jeu-web
Concepteur de jeux video,3,"Teste et améliore le jeu, s'informe des attentes actuelles du public, de la concurrence et des nouveautés.",Système - Développement,1950,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/concepteur-conceptrice-de-niveaux-de-jeu-web
Concepteur de jeux video,3,"Teste et améliore le jeu, s'informe des attentes actuelles du public, de la concurrence et des nouveautés.",Système - Développement,1950,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/concepteur-conceptrice-de-niveaux-de-jeu-web
Ingénieur/e système,5,"analyse, optimise et sécurise l'outil informatique de son entreprise afin que tous les utilisateurs disposent d'une installation adaptée et performante.",Système - Développement,2400,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/ingenieur-ingenieure-systeme
Ingénieur/e système,5,"analyse, optimise et sécurise l'outil informatique de son entreprise afin que tous les utilisateurs disposent d'une installation adaptée et performante.",Système - Développement,2400,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/ingenieur-ingenieure-systeme
Développeur/euse informatique,2,Les développeurs informatique traduisent la demande d'un client en programme informatique. Il savent s'adapter et élargir leurs compétences.,Système - Développement,2400,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/developpeur-developpeuse-informatique
Développeur(euse) d'applications mobiles,2,"Le développeur d'applications mobiles est chargé de la réalisation technique d'une application, basée sur un cahier des charges.",Système - Développement,2900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/developpeur-developpeuse-d-applications-mobiles
Informaticien(ne) industriel(le),2,"Le technicien et l'ingénieur en informatique industrielle participent à la conception, à la mise au point et à l'amélioration des logiciels qui commandent des systèmes automatisés de l’industrie.",Système - Réseaux,1500,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/informaticien-industriel-informaticienne-industrielle
Intégrateur(trice) web,2,"L'intégrateur web est chargé de monter les pages d'un site en réunissant l'ensemble des éléments décidés par le chef de projet : textes, images,etc. Il possède de bonne connaissance des langages informatiques et un sens artistique.",Web - Internet,2500,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/integrateur-integratrice-web
Technicien(ne) de maintenance en informatique,2,"Le technicien de maintenance en informatique est un personnage clé dans la plupart des entreprises du tertiaire, toutes équipées en outils informatiques. Très technique, son activité le met au contact du matériel, des utilisateurs et des informaticiens.",Système - Réseaux,1900,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/technicien-technicienne-de-maintenance-en-informatique
Testeur(euse) en informatique,2,"Le testeur est le spécialiste de la chasse aux bugs, ces erreurs qui empêchent le bon fonctionnement d'un logiciel. À lui de les signaler au service développement.",Système - Multimédia,1700,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/testeur-testeuse
Traffic manager,2,"Spécialiste de la publicité et de l'analyse statistique du comportement des internautes, le traffic manager définit la stratégie, supervise la réalisation technique et assure le suivi des campagnes promotionnelles en ligne.",Système - Réseaux,2000,http://www.onisep.fr/Ressources/Univers-Metier/Metiers/traffic-manager
Responsable de parc informatique,2,"Le responsable de parc micro-informatique est un professionnel indispensable au sein d’une entreprise. En effet, il gère le bon fonctionnement des ordinateurs du personnel et se doit d’être toujours disponible pour régler tout problème",Système - Réseaux,2500,https://diplomeo.com/formations-metier-pour-devenir-responsable_de_parc_informatique
